canonical_key,class,method,file,jdk_annotation,cache_result,randoop_sef,category,randoop_vs_cache,red_alert,reasons
"java.util.ArrayList.replaceAllRange(java.util.function.UnaryOperator,int,int)",java.util.ArrayList,replaceAllRange,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,UnaryOperator parameter escapes to global scope; mutates loaded object 'load elementData from parameter this' via field array element
java.util.ArrayList.retainAll(java.util.Collection),java.util.ArrayList,retainAll,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; mutates this via field size; loaded object 'callee: load elementData from parameter this' escapes to global scope ... (+1 more)
"java.util.ArrayList.set(int,java.lang.Object)",java.util.ArrayList,set,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates loaded object 'callee: load elementData from parameter this' via field array element
"java.util.ArrayList.setBit(long[],int)",java.util.ArrayList,setBit,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates long[] parameter via field array element
"java.util.ArrayList.shiftTailOverGap(java.lang.Object[],int,int)",java.util.ArrayList,shiftTailOverGap,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field size; Object[] parameter escapes to global scope; mutates Object[] parameter via field array element
java.util.ArrayList.size(),java.util.ArrayList,size,ArrayList.java,Pure,SIDE_EFFECT_FREE,True,Match,Both SEF,False,
java.util.ArrayList.sort(java.util.Comparator),java.util.ArrayList,sort,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field modCount; Comparator parameter escapes to global scope; loaded object 'load elementData from parameter this' escapes to global scope
java.util.ArrayList.spliterator(),java.util.ArrayList,spliterator,ArrayList.java,SideEffectFree,SIDE_EFFECT_FREE,False,Match,Ours Only SEF,False,
"java.util.ArrayList.subList(int,int)",java.util.ArrayList,subList,ArrayList.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.ArrayList.toArray(),java.util.ArrayList,toArray,ArrayList.java,SideEffectFree,SIDE_EFFECT_FREE,False,Match,Ours Only SEF,False,
java.util.ArrayList.toArray(java.lang.Object[]),java.util.ArrayList,toArray,ArrayList.java,SideEffectFree,SIDE_EFFECTING,False,Annotated Mismatch,Both Side-Effecting,False,Object[] parameter escapes to global scope; mutates Object[] parameter via field array element; loaded object 'load elementData from parameter this' escapes to global scope
java.util.ArrayList.trimToSize(),java.util.ArrayList,trimToSize,ArrayList.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,mutates this via field elementData; mutates this via field modCount
java.util.Arrays$ArrayList.<init>(java.lang.Object[]),java.util.Arrays$ArrayList,<init>,Arrays.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.Arrays.<init>(),java.util.Arrays,<init>,Arrays.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
java.util.Arrays.asList(java.lang.Object[]),java.util.Arrays,asList,Arrays.java,SideEffectFree,SIDE_EFFECT_FREE,False,Match,Ours Only SEF,False,
"java.util.Arrays.binarySearch(byte[],byte)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
"java.util.Arrays.binarySearch(byte[],int,int,byte)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,writes to static field unknown
"java.util.Arrays.binarySearch(char[],char)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
"java.util.Arrays.binarySearch(char[],int,int,char)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,writes to static field unknown
"java.util.Arrays.binarySearch(double[],double)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
"java.util.Arrays.binarySearch(float[],float)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
"java.util.Arrays.binarySearch(int[],int)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
"java.util.Arrays.binarySearch(int[],int,int,int)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,writes to static field unknown
"java.util.Arrays.binarySearch(java.lang.Object[],int,int,java.lang.Object)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,writes to static field unknown; Object parameter escapes to global scope
"java.util.Arrays.binarySearch(java.lang.Object[],int,int,java.lang.Object,java.util.Comparator)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,writes to static field unknown; Object parameter escapes to global scope; Comparator parameter escapes to global scope
"java.util.Arrays.binarySearch(java.lang.Object[],java.lang.Object)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,Object parameter escapes to global scope
"java.util.Arrays.binarySearch(java.lang.Object[],java.lang.Object,java.util.Comparator)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECTING,False,Both Side-Effecting,Both Side-Effecting,False,Object parameter escapes to global scope; Comparator parameter escapes to global scope
"java.util.Arrays.binarySearch(long[],long)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
"java.util.Arrays.binarySearch(short[],short)",java.util.Arrays,binarySearch,Arrays.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
"java.util.Arrays.binarySearch0(byte[],int,int,byte)",java.util.Arrays,binarySearch0,Arrays.java,,SIDE_EFFECT_FREE,False,Unannotated Mismatch,Ours Only SEF,True,
